cowcode,iso3166,country_ID,country_name,abbr_country,year,n_instdepth,n_policy,n_fiscauto,n_borrowauto,n_rep,n_lawmaking,n_execcon,n_fisccon,n_borrowcon,n_constit,n_selfrule,n_sharedrule,n_RAI,COMPONENTS,n_rep,n_assembly,n_executive,n_lawmaking,n_law_a,n_law_b,n_law_c,n_law_d,n_law_e,n_law_f
900,36,2,Australia,AUS,1982,3.0,3.9,2.0,1.0,4.0,1.5,2.0,1.0,2.0,3.0,13.8,9.4,23.3,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1983,3.0,3.9,2.0,1.0,4.0,1.5,2.0,1.0,2.0,3.0,13.8,9.4,23.3,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1984,3.0,3.9,2.0,3.0,4.0,1.5,2.0,1.0,0.0,3.0,15.8,7.5,23.3,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1985,3.0,3.9,2.0,3.0,4.0,1.5,2.0,1.0,0.0,3.0,15.8,7.5,23.3,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1986,3.0,3.9,2.0,3.0,4.0,1.5,2.0,1.0,0.0,3.0,15.8,7.5,23.3,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1987,3.0,3.9,2.0,3.0,4.0,1.5,2.0,1.0,0.0,3.0,15.8,7.5,23.3,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1988,3.0,3.9,2.0,3.0,4.0,1.5,2.0,1.0,0.0,3.0,15.8,7.5,23.3,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1989,3.0,4.0,2.0,3.0,4.0,1.5,2.0,1.0,0.0,3.0,15.9,7.5,23.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1990,3.0,4.0,2.0,3.0,4.0,1.5,2.0,1.0,0.0,3.0,15.9,7.5,23.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1991,3.0,4.0,2.0,3.0,4.0,1.5,2.0,1.0,0.0,3.0,15.9,7.5,23.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1992,3.0,4.0,2.0,3.0,4.0,1.5,2.0,1.0,0.0,3.0,15.9,7.5,23.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1993,3.0,4.0,2.0,3.0,4.0,1.5,2.0,1.0,0.0,3.0,15.9,7.5,23.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1994,3.0,4.0,2.0,3.0,4.0,1.5,2.0,1.0,0.0,3.0,15.9,7.5,23.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1995,3.0,4.0,2.0,2.0,4.0,1.5,2.0,1.0,2.0,3.0,14.9,9.5,24.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1996,3.0,4.0,2.0,2.0,4.0,1.5,2.0,1.0,2.0,3.0,14.9,9.5,24.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1997,3.0,4.0,2.0,2.0,4.0,1.5,2.0,1.0,2.0,3.0,14.9,9.5,24.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1998,3.0,4.0,2.0,2.0,4.0,1.5,2.0,1.0,2.0,3.0,14.9,9.5,24.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,1999,3.0,4.0,2.0,2.0,4.0,1.5,2.0,2.0,2.0,3.0,14.9,10.5,25.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,2000,3.0,4.0,2.0,2.0,4.0,1.5,2.0,2.0,2.0,3.0,14.9,10.5,25.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,2001,3.0,4.0,2.0,2.0,4.0,1.5,2.0,2.0,2.0,3.0,14.9,10.5,25.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,2002,3.0,4.0,2.0,2.0,4.0,1.5,2.0,2.0,2.0,3.0,14.9,10.5,25.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,2003,3.0,4.0,2.0,2.0,4.0,1.5,2.0,2.0,2.0,3.0,14.9,10.5,25.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,2004,3.0,4.0,2.0,2.0,4.0,1.5,2.0,2.0,2.0,3.0,14.9,10.5,25.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,2005,3.0,4.0,2.0,2.0,4.0,1.5,2.0,2.0,2.0,3.0,14.9,10.5,25.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,2006,3.0,4.0,2.0,2.0,4.0,1.5,2.0,2.0,2.0,3.0,14.9,10.5,25.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,2007,3.0,4.0,2.0,2.0,4.0,1.5,2.0,2.0,2.0,3.0,14.9,10.5,25.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,2008,3.0,4.0,2.0,2.0,4.0,1.5,2.0,2.0,2.0,3.0,14.9,10.5,25.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,2009,3.0,4.0,2.0,2.0,4.0,1.5,2.0,2.0,2.0,3.0,14.9,10.5,25.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
900,36,2,Australia,AUS,2010,3.0,4.0,2.0,2.0,4.0,1.5,2.0,2.0,2.0,3.0,14.9,10.5,25.4,,4.0,2.0,2.0,1.5,0.5,0.0,0.5,0.5,0.0,0.0
305,40,3,Austria,AUT,1955,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1956,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1957,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1958,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1959,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1960,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1961,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1962,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1963,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1964,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1965,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1966,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1967,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1968,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1969,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1970,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1971,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1972,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1973,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1974,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1975,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1976,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1977,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1978,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1979,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1980,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1981,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1982,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1983,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,15.0,6.0,21.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1984,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,15.0,8.0,23.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1985,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,15.0,8.0,23.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1986,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,15.0,8.0,23.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1987,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,15.0,8.0,23.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1988,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,15.0,8.0,23.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1989,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,15.0,8.0,23.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1990,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,15.0,8.0,23.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1991,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,15.0,8.0,23.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1992,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,15.0,8.0,23.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1993,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,15.0,8.0,23.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1994,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,15.0,8.0,23.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1995,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,15.0,8.0,23.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1996,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,15.0,8.0,23.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
305,40,3,Austria,AUT,1997,3.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,14.0,8.0,22.0,,4.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0
